"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","685","685"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","10263","12943"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","SC","NA","5503","7347"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","ST","NA","2723","4168"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","HS","OPEN","NA","762","2697"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","HS","OBC-NCL","NA","777","2600"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","HS","SC","NA","423","849"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","HS","ST","NA","332","642"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","OS","OPEN","NA","574","1738"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","OS","OPEN (PwD)","NA","86","86"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","OS","OBC-NCL","NA","439","959"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","OS","SC","NA","163","371"
"Malaviya National Institute of Technology Jaipur","Architecture  (5 Years, Bachelor of Architecture)","OS","ST","NA","188","233"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","12127","18919"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","1323","1323"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","4793","6297"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","1880","3033"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","470","984"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","12965","20237"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","5395","7467"
